12桁	帳簿	直前のAIND	本文冒頭
870594905740	$$$	AIND-D00781	أحمد بن صالح الشاعر . هو ابن محمد بن صالح يأتي .
170896918159	$$$	AIND-D00782	أحمد بن صحصاح بمهملات يأتي في ابن محمد بن محمد بن علي بن عثمان .
611508553362	$$$	AIND-D00784	أحمد بن الصلاح هو بن محمد بن محمد بن عثمان بن
562506499749	$$$	AIND-D00792	أحمد بن عاشر . هو ابن قاسم بن أحمد . يأتي .
496542680747	$$$	AIND-D00797	أحمد بن عبادة . يأتي في ابن محمد بن محمد بن عبادة .
101560878769	$$$	AIND-D00803	أحمد بن عبد الحميد المالكي . في ابن يوسف بن عمر بن يوسف .
282549290706	$$$	AIND-D00824	أحمد بن عبد الرحمن بن عبد الناصر الزبيري . يأتي فيمن جده محمد بن عبد الناصر .
679129122529	$$$	AIND-D00833	أحمد بن عبد الرحمن بن الشيخ محمد بن حسن أبو اليسر بن أبي الفضل الحنفي . في الكنى .
100038346482	$$$	AIND-D00840	أحمد بن عبد الرحمن بن العلامة جمال الدين بن هشام . مضى أيضا فيمن جده محمد بن عبد الله بن يوسف .
276308166441	$$$	AIND-D00861	أحمد بن عبد العزيز الشيفكي ثم الشيرازي . مضى فيمن جده أحمد .
986428999469	$$$	AIND-D00863	أحمد بن عبد القادر بن إبراهيم الصدر أبو البركات بن المجد المكراني الأصل المكي الشافعي . مضى في ابن إسماعيل ورأيت بخط بعض
569309661013	$$$	AIND-D00882	أحمد بن عبد الله بن أحمد بن عبد الله الشهاب بن الجمال القلقشندي . يأتي في ابن علي بن أحمد بن عبد الله فالصواب في اسم أبي
938148366159	$$$	AIND-D00883	أحمد بن عبد الله بن أحمد اليرتقي . في ابن محمد المريقي .
241046652863	$$$	AIND-D00925	أحمد بن عبد الله الشهاب البوصيري فيمن جده حسن .
344994088904	$$$	AIND-D00931	أحمد بن عبد الله شهاب الدين القزويني . مضى فيمن جده أحمد بن محمد بن محمد بن محمد بن يوسف .
810326951878	$$$	AIND-D00931	أحمد بن عبد الله الشهاب القلقشندي ، مضى فيمن جده أحمد بن عبد الله وأن صوابه أحمد بن علي بن أحمد بن عبد الله وسيأتي .
293706139612	$$$	AIND-D00944	أحمد بن عبد الله الزهوري . مضى في أحمد بن أحمد بن عبد الله .
803435710433	$$$	AIND-D00946	أحمد بن عبد الله القوصي . مضى في الملقبين شهاب الدين قريبا .
669918431204	$$$	AIND-D00946	أحمد بن أبي عبد الله بن أبي العباس بن عبد المعطي . يأتي في ابن محمد بن أحمد بن محمد بن عبد المعطي .
512757860339	$$$	AIND-D00955	أحمد بن عبيد بن علي بن أحمد . مضى في ابن عبد الرحمن بن علي بن أحمد .
867608561653	$$$	AIND-D00955	أحمد بن عبيد بن محمد بن أحمد . في ابن عبيد الله قريبا .
650154870807	$$$	AIND-D00966	أحمد بن عربشاه . في ابن محمد بن عبد الله بن إبراهيم .
107793614886	$$$	AIND-D00976	أحمد بن علي بن إبراهيم الحلبي ابن أخي الصوة.
730542901333	$$$	AIND-D00996	37 أحمد بن علي بن أحمد النويري المالكي إمام مقام المالكية بمكة . مضى فيمن جده أحمد بن عبد العزيز بن القسم .
381769746558	$$$	AIND-D01016	57 أحمد بن علي بن أبي راجح . يأتي فيمن جده محمد بن إدريس .
156514650261	$$$	AIND-D01022	63 أحمد بن علي بن الشيخ أبي العباس بن أبي الحسن
476405827783	$$$	AIND-D01042	أحمد بن علي بن عيسى بن محمد بن عيسى الحسني
598900476108	$$$	AIND-D01046	أحمد بن علي بن قوام فيمن جده أبو بكر بن محمد بن قوام .#
953252055340	$$$	AIND-D01090	أحمد بن علي بن يفتح الله . مضى فيمن جده محمد بن محمد بن محمد بن عبد الوهاب .
246914484528	$$$	AIND-D01092	أحمد بن علي بن شهاب الدين بن أبي الروس . فيمن جده إبراهيم بن محمد
589882722609	$$$	AIND-D01096	أحمد بن علي بن النقيب الحنفي فيمن جده محمد بن ضوء .
794212436316	$$$	AIND-D01106	أحمد بن الشيخ علي أخو نائب صفد . مضى قريبا في الملقبين شهاب الدين .
642965834075	$$$	AIND-D01106	أحمد بن علي . صوابه محمد بن سند وسيأتي .
748020566455	$$$	AIND-D01155	أحمد بن عيسى السنباطي الحنبلي . في ابن محمد بن عيسى بن يوسف .
128022743485	$$$	AIND-D01159	أحمد بن أبي الفتح العثماني . يأتي في ابن محمد .
620056545725	$$$	AIND-D01159	أحمد بن أبي الفضل بن ظهيرة . في ابن محمد بن أحمد بن ظهيرة .
300945508801	$$$	AIND-D01162	أحمد بن أبي القسم بن عبد الرحمن بن محمد بن عبد الرحمن المغربي الخلوف . يأتي فيمن اسم أبيه محمد قريبا .
853494729155	$$$	AIND-D01162	أحمد بن أبي القسم بن محمد بن أحمد المحب النويري المكي الخطيب . يأتي في أحمد بن محمد .
514225867210	$$$	AIND-D01169	أحمد بن قرطاي . مضى في ابن علي بن قرطاي .
477160802822	$$$	AIND-D01192	أحمد بن محمد الطيب بن أحمد بن أبي بكر بن علي بن محمد بن أبي بكر بن عبد الله بن عمر بن عبد الرحمن بن عبد الله أبو عبد الل
678990711325	$$$	AIND-D01210	أحمد بن محمد بن أحمد بن علي بن عبد الرحمن الشهاب بن القرداح . يأتي في ابن محمد بن علي بن أحمد بن عبد الرحمن .
404532234815	$$$	AIND-D01233	أحمد بن محمد بن أحمد بن محمد بن عبد الله الحراري . مضى فيمن جده أحمد بن أبي الفضل .
373951564355	$$$	AIND-D01237	أحمد بن محمد بن أحمد بن محمد بن عمر بن رضوان الشهاب السلاوي . مضى بدون محمد الثاني .
201251097190	$$$	AIND-D01249	أحمد بن محمد بن أحمد بن محمد الدمشقي العوريفي . كذا كتبه ابن عزم وصوا به العروفي ، وقد مضى بزيادة أحمد بن محمد ثالث في ن
450875099765	$$$	AIND-D01252	أحمد بن محمد بن أحمد بن يوسف بن إسماعيل بن عقبة بن محاسن الصعيدي ثم الدمشقي . مضى بدون يوسف .
349641378427	$$$	AIND-D01257	أحمد بن محمد بن أحمد الشهاب القسطلاني المكي المالكي . مضى فيمن جده أحمد بن حسن بن الزين محمد .
882552867450	$$$	AIND-D01259	أحمد بن محمد بن أحمد بن السيف الحنبلي . مضى في السين المهملة من أجداد الأب .
255567334052	$$$	AIND-D01277	أحمد بن محمد بن أحمد الهدوي . مضى قريبا فيمن يلقب سواسوا .
536820583101	$$$	AIND-D01291	أحمد بن محمد بن أبي بكر بن سعد الله الواسطي . يأتي فيمن جده أبو بكر بن محمد بن سعد الله .
918816819932	$$$	AIND-D01304	أحمد بن محمد بن أبي بكر بن محمد القسطلاني . مضى فيمن جده أبو بكر بن عبد الملك بن محمد بن أحمد .
881147775713	$$$	AIND-D01307	أحمد بن النجم محمد بن أبي بكر الشهاب المرجاني الأصل المكي . مضى فيمن جده أبو بكر بن علي بن يوسف .
417366805220	$$$	AIND-D01309	أحمد بن محمد بن حذيفة المسيري . مضى فيمن جده أحمد رأيته منسوبا لذلك فيمن سمع على التقي بن فهد بمكة .
365604899567	$$$	AIND-D01317	أحمد بن محمد بن حسين النصيبي . مضى بدون محمد .
828031109879	$$$	AIND-D01321	أحمد بن محمد بن رمضان الحجازي . في أحمد بن محمد بن أحمد بن جبريل بن أحمد .
125732653820	$$$	AIND-D01322	أحمد بن محمد بن سالم بن محمد بن قاسم . هو شميلة ، يأتي في المعجمة .
974265518864	$$$	AIND-D01334	أحمد بن محمد بن صلاح . هو ابن محمد بن محمد بن عثمان بن نصر بن عيسى . يأتي فصلاح لقب جده لا اسمه .
100306783028	$$$	AIND-D01351	أحمد بن محمد بن عبد الرحمن بن القرداح . يأتي في ابن محمد بن علي بن أحمد بن عبد الرحمن .
317454289724	$$$	AIND-D01354	أحمد بن محمد بن عبد الرحيم الجرهي . هو نعمة الله يأتي .
743046122342	$$$	AIND-D01369	أحمد بن محمد بن عبد الله بن حمام . مضى فيمن جده عبد الله بن إبراهيم .
257354107783	$$$	AIND-D01381	أحمد بن محمد بن عبد الله الشهاب بن الناصح .
774708923281	$$$	AIND-D01388	أحمد ابن محمد بن عبد المهيمن كذا رأيته في نسخة من عقود المقريزي وسيأتي بزيادة محمد قبل المهيمن .
114965875604	$$$	AIND-D01399	أحمد بن محمد بن عثمان المزملاتي . في من جده الياس .
101904812982	$$$	AIND-D01409	أحمد بن محمد بن علي بن تقي . فيمن جده أحمد بن علي .
720224914379	$$$	AIND-D01415	أحمد بن محمد بن علي بن شعبان . يأتي بإثبات محمد قبل شعبان .
760137911243	$$$	AIND-D01415	أحمد بن محمد بن علي بن عبد الله بن علي الشهاب أو الشمس الطولوني لبلد المهندسين . مضى في ولده أحمد بن أحمد بن محمد بن علي
386148600866	$$$	AIND-D01447	أحمد بن محمد بن عماد صوابه ابن أبي بكر بن محمد بن عماد الشهاب الحموي الحنبلي وقد مضى .
723559386188	$$$	AIND-D01468	أحمد بن محمد بن الفلاح . يأتي قريبا في ابن محمد بن اللاح [= AIND-D01479] .
595326930005	$$$	AIND-D01470	أحمد بن محمد بن فهيد المغيربي . يأتي فيمن لم يسم جده [= AIND-D01598] .
658648337501	$$$	AIND-D01477	أحمد بن محمد بن كميل . صوابه محمد بن أحمد بن عمر بن كحيل [= AIND-D06785] .
906418457717	$$$	AIND-D01492	أحمد بن محمد بن محمد بن أبي بكر بن عبية . يأتي بدون أبي بكر .
452682845328	$$$	AIND-D01503	أحمد بن محمد بن محمد بن عبدا لبر بن يحيى السبكي . هو ابن محمد بن عبد البر مضى ومحمد الثاني زيادة .
371636309144	$$$	AIND-D01507	أحمد بن البدر محمد بن محمد بن عبد العزيز المباشر . مضى في أحمد بن عبد العزيز بن محمد .
461713181864	$$$	AIND-D01510	أحمد بن المحب محمد بن الجمال محمد بن عبد الله بن ظهيرة . كذا في بعض نسخ الأنباء ومحمد الأول زيادة في نسبه والمحب لقب أحم
155445103836	$$$	AIND-D01529	أحمد بن محمد بن محمد بن أبي الخير محمد بن محمد بن عبد الله المحب أبو بكر بن فهد وهو بكنيته أشهر . يأتي في الكنى .
459557309662	$$$	AIND-D01529	أحمد بن محمد بن محمد بن محمد بن محمد ابن علي بن أحمد الزين أبو الطيب بن حجر المدعو شعبان وهو به أشهر . يأتي في المعجمة .
336580316407	$$$	AIND-D01545	أحمد بن محمد بن محمد بن محمد بن المولي . في آخر الأحمدين في أحمد بن الشريفة .
635529334014	$$$	AIND-D01549	أحمد بن محمد بن محمد الشهاب الأموي المالكي . صوابه أحمد بن عبد الله بن محمد بن محمد وقد مضى .
327793249546	$$$	AIND-D01554	أحمد بن محمد بن محمد الأبدي . فيمن جده محمد بن عبد الرحمن بن علي بن أحمد [= AIND-D01505] .
159706516776	$$$	AIND-D01566	أحمد بن محمد بن منصور الأشموني . في ابن منصور .
148570639715	$$$	AIND-D01594	587 أحمد بن محمد الشهاب بن الشمس بن المغيربي . يأتي قريبا .
445049212286	$$$	AIND-D01608	أحمد بن محمد الشهاب الحلبي ثم الدمشقي قاضي كرك
100176760209	$$$	AIND-D01617	أحمد بن محمد الشهاب الواسطي الاصم : مضى فيمن
514473332117	$$$	AIND-D01619	أحمد بن محمد النجم والشهاب البامي . مضى فيمن
195421015449	$$$	AIND-D01619	أحمد بن محمد أبو طاهر الخجندي . مضى في ابن محمد بن محمد بن محمد بن محمد .
159798791582	$$$	AIND-D01622	أحمد بن محمد البلقيني جماعة : ابن أبي بكر بن رسلان وابن عبد الرحمن وابن محمد بن عمر .
690155949472	$$$	AIND-D01623	أحمد بن محمد الحلبي قاضي كرك نوح . مضى في ابن عبد الله .
765447900580	$$$	AIND-D01625	أحمد بن محمد الذروي اثنان اسم جد أحدهما أبو بكر بن علي بن يوسف والآخر أحمد بن علي بن أحمد .
744618986919	$$$	AIND-D01625	أحمد بن محمد السنهوري المالكي . مضى فيمن يعرف بابن عز الدين .
845051596203	$$$	AIND-D01628	أحمد بن محمد الطنبذي الشافعي . كذا رأيته بخطه في إجازة وأظنه أحمد ابن عمر بن محمد البدر الطنبذي الماضي .
786486529450	$$$	AIND-D01628	أحمد بن محمد الطولوني . مضى في أحمد بن أحمد بن محمد بن علي بن عبد الله .
476649465329	$$$	AIND-D01647	أحمد بن مظفر بن أبي بكر . في ابن محمد بن أبي بكر .
797131673040	$$$	AIND-D01652	أحمد بن مكنون . في ابن محمد بن مكنون .
682249686501	$$$	AIND-D01659	أحمد بن موسى بن أحمد بن عبد الرحمن الجبراوي . هكذا رأيته في خط شيخنا ببعض الأماكن . والصواب في جده محمد وقد ترجمه كذلك ف
246281145846	$$$	AIND-D01668	أحمد بن موسى بن محمد بن علي المنوفي ثم القاهري . مضى له ذكر في أخيه إبراهيم .
399666843143	$$$	AIND-D01672	أحمد بن موسى الأدكاوي المالكي . في ابن علي بن موسى نسب هنا لجده .
866018921992	$$$	AIND-D01672	أحمد بن موسى . في ابن أبي حمو .
709730766379	$$$	AIND-D01685	أحمد بن يحيى بن شاكر بن عبد الغني أبو البركات بن الجيعان . يأتي في الكني .
980225625693	$$$	AIND-D01707	أحمد بن يوسف بن إسماعيل بن عثمان الشهاب الكوراني . مضى بدون يوسف [= AIND-D00552]
460157095534	$$$	AIND-D01714	أحمد بن يوسف بن علي بن محمد الشهاب الطريني . مضى في ابن علي بن يوسف .
552498892400	$$$	AIND-D01717	أحمد بن يوسف بن محمد البانياسي . سيأتي فيمن لم يسم جده [= AIND-D01723]
563064344195	$$$	AIND-D01724	أحمد بن يوسف الكوراني . مضى فيمن جده إسماعيل بن عثمان وأنه مضى غلطا في أحمد بن إسماعيل بن عثمان بدون يوسف . [= AIND-D005
