熊倉	Person	ابن البلقيني (شيخ D04094)	Ibn al-Bulqīnī	TMP-P-000938	出現項: D04094(أخذ عن ابن البلقيني)。候補 الجلال عبد الرحمن(没824)/العلم صالح=AIND-D03354(没868、有力)。B68 §D-6 裁定(2026-09-05)により暫定発行、確定時に統合	B68裁定追加
熊倉	Person	الشهاب الغزي (صهر D05502)	al-Shihāb al-Ghazzī	TMP-P-000939	出現項: D05502(صاهره الشهاب الغزي على ابنته)。候補 AIND-D00888(أحمد بن عبد الله بن بدر العامري الغزي ثم الدمشقي、生770)。B68 §D-6 裁定により暫定発行	B68裁定追加
熊倉	Person	الشهاب بن الشطنوفي (جد D05587 لأمه)	al-Shihāb b. al-Shaṭanūfī	TMP-P-000940	出現項: D05587(سبط الشهاب بن الشطنوفي)。候補 AIND-D01181(生797)/AIND-D00781。B68 §D-6 裁定により暫定発行	B68裁定追加
熊倉	Person	إبراهيم العجلوني (وسيط الإجازة 850H بدمشق)	Ibrāhīm al-ʿAjlūnī	TMP-P-000941	出現項: D05503・D05515(استجازه لي إبراهيم العجلوني وترجمه)。候補 AIND-D00019(ابن الغرس、没888、有力)/D00018/D00290。B68 §D-6 裁定により暫定発行	B68裁定追加
