AIND	現状	REF化日(commit)	commit	型	転送先	corpus帳簿	見出し	原文(先頭120字)
AIND-D03654	REF	2026-09-01	254c420	転送指示あり	#AIND-D03661	$	عبد الرحمن بن عبد الله بن جمال الثناء البصري المكي	عبد الرحمن بن عبد الله بن جمال الثناء البصري المكي ، يأتي قريبا فيمن جده عبد الله بن عبد الرحمن .
AIND-D03703	REF	2026-09-01	254c420	転送指示あり	#AIND-D03698	$	عبد الرحمن بن علي بن محمد بن مفتاح البعلي	عبد الرحمن بن علي بن محمد بن مفتاح البعلي . مضى فيمن جده محمد بن عبد الرحمن بن محمد بن مفتاح قريبا . عبد الرحمن بن علي ب
AIND-D03788	REF	2026-09-01	254c420	転送指示あり	#AIND-D03768	$	عبد الرحمن بن محمد بن محمد بن سلامة الماكسيني	عبد الرحمن بن محمد بن محمد بن سلامة الماكسيني . مضى فيمن جده أبو عبد الله .
AIND-D04026	REF	2026-09-03	76772dd	転送指示あり	#AIND-D04023	$	عبد العزيز بن يوسف الخواجا السلطاني	عبد العزيز بن يوسف الخواجا السلطاني . مضى فيمن جده عبد العزيز .
AIND-D04084	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D04050	$	عبد الغني بن الهيصم	عبد الغني بن الهيصم . فيمن اسم أبيه إبراهيم .
AIND-D04103	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D04099	$	عبد القادر بن أحمد بن محمد بن نشوان	عبد القادر بن أحمد بن محمد بن نشوان . مضى فيمن جده محمد بن إبراهيم
AIND-D04176	REF	2026-09-05	6001a0b	転送指示あり	#NEEDID	$	عبد القادر بن محمد بن تميم المقريزي	عبد القادر بن محمد بن تميم المقريزي . مضى فيمن جده إبراهيم بن محمد بن تميم .
AIND-D04180	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D04210	$	عبد القادر بن محمد بن راشد	عبد القادر بن محمد بن راشد . فيمن لم يسم جده .
AIND-D04206	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D04222	$	عبد القادر بن البدر محمد بن أبي النجا محمد الطحطوطي الاسطائي	عبد القادر بن البدر محمد بن أبي النجا محمد الطحطوطي الأصل الاسطائي نسبة لبلد من الفيوم ويعرف أبوه بالحجازي . معتقد شهير 
AIND-D04342	REF	2026-09-08	7ae26be	転送指示あり	#AIND-D04353	$$$	عبد اللطيف بن محمد بن أحمد	عبد اللطيف بن محمد بن أحمد . يأتي فيمن جده عبد الله .
AIND-D04395	REF	2026-09-08	7ae26be	転送指示あり	#AIND-D04664	$$$	عبد الله بن أحمد بن عبد الله الجمال النحريري المالكي قاضي حلب وابن قاضيها	عبد الله بن أحمد بن عبد الله الجمال النحريري المالكي قاضي حلب وابن قاضيها . يأتي فيمن لم يسم أبوه فأظن أنه ابن أحمد بن ع
AIND-D05508	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05476	$	علي بن محمد بن علي السيرجي ثم المكي	علي بن محمد بن علي السيرجي ثم المكي . فيمن جده علي بن خليل .
AIND-D05536	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05447	$	علي بن محمد بن قحر	علي بن محمد بن قحر بقاف مضمومة ثم حاء مهملة وآخره راء . مضى فيمن جده عبد العلي قحر وهو مع الماضي قريبا يدخل في المتفق وا
AIND-D05537	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D12663	$	علي بن محمد بن قوام	علي بن محمد بن قوام . مضى في ابن قوام .
AIND-D05560	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D09233	$	علي بن محمد بن محمد بن محمد بن محمد بن محمد العلاء البخاري	علي بن محمد بن محمد بن محمد بن محمد بن محمد العلاء البخاري . صوابه محمد يأتي .
AIND-D05561	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05566	$	علي بن محمد بن محمد بن محمد بن وفا	علي بن محمد بن محمد بن محمد بن وفا . يأتي بدون محمد الثالث .
AIND-D05570	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05543	$	علي بن محمد بن محمد الصدر الأدمي	علي بن محمد بن محمد الصدر الأدمي . فيمن جده محمد بن أحمد .
